Price,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Rating,ReviewsCount,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,Furnishing_Fully Furnished,Furnishing_Semi Furnished,Furnishing_Unfurnished
13000,30,1,1,1,1,0,0,4,23,1,1,0,0,0,0,0,1
13000,29,1,1,1,1,0,0,4.4,265,0,1,0,0,0,0,0,1
13000,27,0,1,1,1,0,1,4,23,0,1,1,0,0,0,0,1
13000,24,0,1,1,1,0,1,4.2,85,1,1,1,1,0,0,0,1
13000,20,0,1,1,1,0,0,4.2,40,0,1,0,0,1,0,0,1
13000,24,0,1,1,1,0,1,4.6,18,0,1,0,0,1,0,0,1
13000,21,0,1,1,1,0,0,3.9,63,1,0,1,0,0,0,0,1
13000,25,0,1,1,1,0,0,4.3,66.5,0,0,1,0,0,0,0,1
13000,20,1,1,1,1,0,0,4.3,66.5,0,1,0,0,1,0,0,1
13000,30,1,1,1,1,0,0,4.2,85,1,0,1,1,1,0,0,1
13000,24,1,1,1,1,0,0,4.3,127,0,0,0,1,1,0,0,1
13000,29,0,1,1,1,0,1,4.3,66.5,0,0,1,1,0,0,0,1
13000,22,0,1,1,1,0,1,4.3,192,1,0,1,0,0,0,0,1
13000,20,1,1,1,1,0,1,4.3,66.5,0,1,1,0,0,0,0,1
13000,24,0,1,1,1,0,0,4,23,1,1,1,1,1,0,0,1
13000,24,0,1,1,1,0,1,3.9,87,0,0,0,0,0,0,0,1
13000,27,0,1,1,1,0,0,4,3,1,1,0,0,1,0,0,1
13000,21,0,1,1,1,0,0,4.3,66.5,0,0,1,1,1,0,0,1
13500,27,0,1,1,1,0,0,4.1,254,1,1,1,0,0,0,0,1
13500,23,0,1,1,1,0,1,4.3,66.5,1,0,0,0,1,0,0,1
13500,30,1,1,1,1,0,1,4.3,66.5,1,1,0,0,1,0,0,1
13500,20,1,1,1,1,0,0,4.3,66.5,1,0,1,1,0,0,0,1
13500,30,0,1,1,1,0,0,3.5,101,0,0,0,1,0,0,0,1
13500,29,1,1,1,1,0,1,4.3,66.5,1,1,1,0,0,0,0,1
13500,27,0,1,1,1,0,1,5,3,0,1,0,0,1,0,0,1
13500,28,1,1,1,1,0,0,4.3,88,0,1,1,1,1,0,0,1
13500,27,1,1,1,1,0,1,4.2,85,1,0,0,1,1,0,0,1
13500,27,0,1,1,1,0,0,5,2,0,0,1,1,0,0,0,1
14000,30,1,1,1,1,0,1,4.2,85,0,0,1,0,1,0,0,1
14000,27,0,1,1,1,0,0,4.6,18,1,1,0,0,0,0,0,1
14000,22,0,1,1,1,0,0,3.9,87,0,1,0,1,0,0,0,1
14000,27,1,1,1,1,0,1,4.2,85,1,1,0,0,0,0,0,1
14000,20,0,1,1,1,0,0,4.6,18,1,0,0,0,0,0,0,1
14000,26,0,1,1,1,0,1,4.6,18,0,1,0,0,1,0,0,1
14000,21,1,1,1,1,0,1,4.6,18,1,1,0,1,1,0,0,1
14000,22,1,1,1,1,0,0,4.3,66.5,1,0,1,0,0,0,0,1
14000,21,1,1,1,1,0,0,4.3,66.5,1,1,1,1,0,0,0,1
14000,25,1,1,1,1,0,1,4.3,66.5,0,1,0,1,1,0,0,1
14000,29,1,1,1,1,0,1,4.6,16,0,1,1,1,0,0,0,1
14000,22,1,1,1,1,0,1,3.9,87,0,1,0,0,1,0,0,1
